DISTRICT,SchoolName,district_schoolname,tested or not?,not found in testing data list,count of schools
Lynwood Unified,Wilson Elementary,Lynwood Unified_Wilson Elementary,#N/A,TRUE,15
Montebello Unified,Fremont Elementary,Montebello Unified_Fremont Elementary,#N/A,TRUE,9
Montebello Unified,Washington Elementary,Montebello Unified_Washington Elementary,#N/A,TRUE,23
Palmdale Elementary,Chaparral Elementary,Palmdale Elementary_Chaparral Elementary,#N/A,TRUE,6
Palmdale Elementary,Manzanita Elementary,Palmdale Elementary_Manzanita Elementary,#N/A,TRUE,3
Pasadena Unified,Hamilton Elementary,Pasadena Unified_Hamilton Elementary,#N/A,TRUE,5
Pasadena Unified,Woodrow Wilson Middle,Pasadena Unified_Woodrow Wilson Middle,#N/A,TRUE,2
Pasadena Unified,Stratford School ,Pasadena Unified_Stratford School,#N/A,TRUE,1
Pasadena Unified,Madison Elementary,Pasadena Unified_Madison Elementary,#N/A,TRUE,10
Redondo Beach Unified,Birney Elementary,Redondo Beach Unified_Birney Elementary,#N/A,TRUE,4
Redondo Beach Unified,Jefferson Elementary,Redondo Beach Unified_Jefferson Elementary,#N/A,TRUE,22
Redondo Beach Unified,Lincoln Elementary,Redondo Beach Unified_Lincoln Elementary,#N/A,TRUE,25
Redondo Beach Unified,Madison Elementary,Redondo Beach Unified_Madison Elementary,#N/A,TRUE,10
Redondo Beach Unified,Washington Elementary,Redondo Beach Unified_Washington Elementary,#N/A,TRUE,23
San Gabriel Unified,McKinley Elementary,San Gabriel Unified_McKinley Elementary,#N/A,TRUE,18
San Gabriel Unified,Washington Elementary,San Gabriel Unified_Washington Elementary,#N/A,TRUE,23
San Gabriel Unified,Roosevelt Elementary,San Gabriel Unified_Roosevelt Elementary,#N/A,TRUE,15
Santa Monica-Malibu Unified,Grant Elementary,Santa Monica-Malibu Unified_Grant Elementary,#N/A,TRUE,9
Santa Monica-Malibu Unified,McKinley Elementary,Santa Monica-Malibu Unified_McKinley Elementary,#N/A,TRUE,18
Santa Monica-Malibu Unified,Franklin Elementary,Santa Monica-Malibu Unified_Franklin Elementary,#N/A,TRUE,14
Santa Monica-Malibu Unified,John Muir Elementary,Santa Monica-Malibu Unified_John Muir Elementary,#N/A,TRUE,8
Los Angeles Unified,Madison Elementary,Los Angeles Unified_Madison Elementary,#N/A,TRUE,10
Compton Unified,McKinley Elementary,Compton Unified_McKinley Elementary,#N/A,TRUE,18
