DISTRICT,SchoolName,district_schoolname,tested or not?,not found in testing data list,count of schools
Jefferson Elementary,Monticello Elementary,Jefferson Elementary_Monticello Elementary,tested,FALSE,1
Jefferson Elementary,Anthony C. Traina Elementary,Jefferson Elementary_Anthony C. Traina Elementary,tested,FALSE,1
Tracy Joint Unified,Art Freiler,Tracy Joint Unified_Art Freiler,tested,FALSE,1
Tracy Joint Unified,Central Elementary,Tracy Joint Unified_Central Elementary,tested,FALSE,8
Tracy Joint Unified,George and Evelyn Stein Continuation,Tracy Joint Unified_George and Evelyn Stein Continuation,tested,FALSE,1
Tracy Joint Unified,John C. Kimball High,Tracy Joint Unified_John C. Kimball High,tested,FALSE,1
Tracy Joint Unified,Louis A. Bohn Elementary,Tracy Joint Unified_Louis A. Bohn Elementary,tested,FALSE,1
Tracy Joint Unified,Melville S. Jacobson Elementary,Tracy Joint Unified_Melville S. Jacobson Elementary,tested,FALSE,1
Tracy Joint Unified,Merrill F. West High,Tracy Joint Unified_Merrill F. West High,tested,FALSE,1
Tracy Joint Unified,Monte Vista Middle,Tracy Joint Unified_Monte Vista Middle,not tested,FALSE,4
Tracy Joint Unified,North Elementary,Tracy Joint Unified_North Elementary,tested,FALSE,1
Tracy Joint Unified,South/West Park Elementary,Tracy Joint Unified_South/West Park Elementary,tested,FALSE,1
Tracy Joint Unified,Tracy High,Tracy Joint Unified_Tracy High,tested,FALSE,1
Tracy Joint Unified,Wanda Hirsch Elementary,Tracy Joint Unified_Wanda Hirsch Elementary,tested,FALSE,1
Tracy Joint Unified,Duncan-Russell Continuation,Tracy Joint Unified_Duncan-Russell Continuation,tested,FALSE,1
Tracy Joint Unified,Louis J. Villalovoz Elementary,Tracy Joint Unified_Louis J. Villalovoz Elementary,tested,FALSE,1
Tracy Joint Unified,Earle E. Williams Middle,Tracy Joint Unified_Earle E. Williams Middle,tested,FALSE,1
Tracy Joint Unified,George Kelly Elementary,Tracy Joint Unified_George Kelly Elementary,tested,FALSE,1
Tracy Joint Unified,Gladys Poet-Christian Elementary,Tracy Joint Unified_Gladys Poet-Christian Elementary,tested,FALSE,1
,St. Bernard's Catholic Elementary,_St. Bernard's Catholic Elementary,#N/A,FALSE,1
Tracy Joint Unified,Millennium Charter,Tracy Joint Unified_Millennium Charter,tested,FALSE,1
Tracy Joint Unified,Tracy Adult,Tracy Joint Unified_Tracy Adult,tested,FALSE,1
,Bella Vista Christian Academy,_Bella Vista Christian Academy,#N/A,FALSE,1
,Montessori Elementary & Middle School of Tracy,_Montessori Elementary & Middle School of Tracy,#N/A,FALSE,1
,Tracy Seventh-day Adventist Christian,_Tracy Seventh-day Adventist Christian,#N/A,FALSE,1
,West Valley Christian Academy,_West Valley Christian Academy,#N/A,FALSE,1
Lodi Unified,Ronald E. McNair High,Lodi Unified_Ronald E. McNair High,tested,FALSE,1
Lodi Unified,Clairmont Elementary,Lodi Unified_Clairmont Elementary,tested,FALSE,1
Lodi Unified,Parklane Elementary,Lodi Unified_Parklane Elementary,tested,FALSE,1
Lodi Unified,Ansel Adams,Lodi Unified_Ansel Adams,tested,FALSE,1
Lodi Unified,George Lincoln Mosher,Lodi Unified_George Lincoln Mosher,tested,FALSE,1
Lodi Unified,Wagner-Holt Elementary,Lodi Unified_Wagner-Holt Elementary,tested,FALSE,1
Lodi Unified,Plaza Robles Continuation High,Lodi Unified_Plaza Robles Continuation High,tested,FALSE,1
Lodi Unified,Delta Sierra Middle,Lodi Unified_Delta Sierra Middle,tested,FALSE,1
Lodi Unified,Oakwood Elementary,Lodi Unified_Oakwood Elementary,tested,FALSE,1
Lodi Unified,Podesta Ranch Elementary,Lodi Unified_Podesta Ranch Elementary,tested,FALSE,1
Lodi Unified,Bear Creek High,Lodi Unified_Bear Creek High,tested,FALSE,1
Lodi Unified,Elkhorn,Lodi Unified_Elkhorn,tested,FALSE,1
Stockton Unified,Maxine Hong Kingston Elementary,Stockton Unified_Maxine Hong Kingston Elementary,tested,FALSE,1
Lodi Unified,Aspire River Oaks Charter,Lodi Unified_Aspire River Oaks Charter,tested,FALSE,1
Lodi Unified,Aspire Benjamin Holt College Preparatory Academy,Lodi Unified_Aspire Benjamin Holt College Preparatory Academy,tested,FALSE,1
Lodi Unified,Aspire Benjamin Holt Middle School,Lodi Unified_Aspire Benjamin Holt Middle School,tested,FALSE,1
Lodi Unified,Christa McAuliffe Middle,Lodi Unified_Christa McAuliffe Middle,tested,FALSE,1
Lodi Unified,Julia Morgan Elementary,Lodi Unified_Julia Morgan Elementary,tested,FALSE,1
Lodi Unified,John Muir Elementary,Lodi Unified_John Muir Elementary,not tested,FALSE,8
Lodi Unified,Manlio Silva Elementary,Lodi Unified_Manlio Silva Elementary,tested,FALSE,1
Lodi Unified,Creekside Elementary,Lodi Unified_Creekside Elementary,tested,FALSE,3
Lincoln Unified,Brookside,Lincoln Unified_Brookside,tested,FALSE,1
Lincoln Unified,Claudia Landeen,Lincoln Unified_Claudia Landeen,tested,FALSE,1
Lincoln Unified,Don Riggio,Lincoln Unified_Don Riggio,tested,FALSE,1
Lincoln Unified,John McCandless Riverbrook,Lincoln Unified_John McCandless Riverbrook,tested,FALSE,1
Lincoln Unified,Mable Barron,Lincoln Unified_Mable Barron,tested,FALSE,1
Lincoln Unified,Sture Larsson High,Lincoln Unified_Sture Larsson High,tested,FALSE,1
Lincoln Unified,John R. Williams,Lincoln Unified_John R. Williams,tested,FALSE,1
Lincoln Unified,Lincoln High,Lincoln Unified_Lincoln High,tested,FALSE,3
Lincoln Unified,Sierra Middle,Lincoln Unified_Sierra Middle,tested,FALSE,3
Stockton Unified,Cesar Chavez High,Stockton Unified_Cesar Chavez High,tested,FALSE,1
Stockton Unified,George W. Bush Elementary,Stockton Unified_George W. Bush Elementary,tested,FALSE,1
Stockton Unified,Kennedy Elementary,Stockton Unified_Kennedy Elementary,tested,FALSE,2
Stockton Unified,Pulliam Elementary,Stockton Unified_Pulliam Elementary,tested,FALSE,1
Stockton Unified,Rio Calaveras Elementary,Stockton Unified_Rio Calaveras Elementary,tested,FALSE,1
Stockton Unified,Valentine Peyton Elementary,Stockton Unified_Valentine Peyton Elementary,tested,FALSE,1
San Joaquin County Office of Education,Venture Academy,San Joaquin County Office of Education_Venture Academy,tested,FALSE,1
Manteca Unified,August Knodt Elementary,Manteca Unified_August Knodt Elementary,tested,FALSE,1
Manteca Unified,Great Valley Elementary,Manteca Unified_Great Valley Elementary,tested,FALSE,1
Manteca Unified,George Y. Komure Elementary,Manteca Unified_George Y. Komure Elementary,tested,FALSE,1
Manteca Unified,Weston Ranch High,Manteca Unified_Weston Ranch High,tested,FALSE,1
Manteca Unified,New Vision High,Manteca Unified_New Vision High,tested,FALSE,1
Manteca Unified,Great Valley Annex Elementary,Manteca Unified_Great Valley Annex Elementary,tested,FALSE,1
Manteca Unified,French Camp Elementary,Manteca Unified_French Camp Elementary,tested,FALSE,1
,Able Charter School,_Able Charter School,#N/A,FALSE,1
San Joaquin County Office of Education,One Discover,San Joaquin County Office of Education_One Discover,tested,FALSE,1
Manteca Unified,"Joseph Widmer, Jr., Elementary","Manteca Unified_Joseph Widmer, Jr., Elementary",tested,FALSE,1
Manteca Unified,Lathrop Elementary,Manteca Unified_Lathrop Elementary,tested,FALSE,1
Manteca Unified,Lathrop High,Manteca Unified_Lathrop High,tested,FALSE,1
Manteca Unified,Mossdale Elementary,Manteca Unified_Mossdale Elementary,tested,FALSE,1
Linden Unified,Linden Elementary,Linden Unified_Linden Elementary,tested,FALSE,1
Linden Unified,Linden High,Linden Unified_Linden High,tested,FALSE,1
Lodi Unified,Aspire Vincent Shalvey Academy,Lodi Unified_Aspire Vincent Shalvey Academy,tested,FALSE,1
Lodi Unified,Morada Middle,Lodi Unified_Morada Middle,tested,FALSE,1
Lammersville Joint Unified,Wicklund Elementary,Lammersville Joint Unified_Wicklund Elementary,tested,FALSE,1
Lammersville Joint Unified,Bethany Elementary,Lammersville Joint Unified_Bethany Elementary,tested,FALSE,1
Lucia Mar Unified,Arroyo Grande High,Lucia Mar Unified_Arroyo Grande High,tested,FALSE,1
Lucia Mar Unified,Harloe Elementary,Lucia Mar Unified_Harloe Elementary,tested,FALSE,1
Lucia Mar Unified,Paulding Middle,Lucia Mar Unified_Paulding Middle,tested,FALSE,1
Atascadero Unified,Atascadero High,Atascadero Unified_Atascadero High,tested,FALSE,1
Atascadero Unified,Fine Arts Academy,Atascadero Unified_Fine Arts Academy,tested,FALSE,1
Atascadero Unified,Monterey Road Elementary,Atascadero Unified_Monterey Road Elementary,tested,FALSE,1
Atascadero Unified,Atascadero Middle,Atascadero Unified_Atascadero Middle,tested,FALSE,1
Atascadero Unified,San Benito Elementary,Atascadero Unified_San Benito Elementary,tested,FALSE,1
Atascadero Unified,San Gabriel Elementary,Atascadero Unified_San Gabriel Elementary,tested,FALSE,1
Atascadero Unified,Santa Rosa Road Academic Academy,Atascadero Unified_Santa Rosa Road Academic Academy,tested,FALSE,1
Atascadero Unified,Paloma Creek High ACE,Atascadero Unified_Paloma Creek High ACE,tested,FALSE,1
Atascadero Unified,Student Inverention Services,Atascadero Unified_Student Inverention Services,tested,FALSE,1
Atascadero Unified,Technology,Atascadero Unified_Technology,tested,FALSE,1
Lucia Mar Unified,Grover Beach Elementary,Lucia Mar Unified_Grover Beach Elementary,tested,FALSE,1
Lucia Mar Unified,Grover Heights Elementary,Lucia Mar Unified_Grover Heights Elementary,tested,FALSE,1
Lucia Mar Unified,Fairgrove Elementary,Lucia Mar Unified_Fairgrove Elementary,tested,FALSE,1
Lucia Mar Unified,Oceano Elementary,Lucia Mar Unified_Oceano Elementary,tested,FALSE,1
Paso Robles Joint Unified,Daniel Lewis Middle,Paso Robles Joint Unified_Daniel Lewis Middle,tested,FALSE,1
Paso Robles Joint Unified,George H. Flamson Middle,Paso Robles Joint Unified_George H. Flamson Middle,tested,FALSE,1
Paso Robles Joint Unified,Georgia Brown Elementary,Paso Robles Joint Unified_Georgia Brown Elementary,tested,FALSE,1
Paso Robles Joint Unified,Kermit King Elementary,Paso Robles Joint Unified_Kermit King Elementary,tested,FALSE,1
Paso Robles Joint Unified,Liberty High (Continuation),Paso Robles Joint Unified_Liberty High (Continuation),tested,FALSE,1
Paso Robles Joint Unified,Paso Robles High,Paso Robles Joint Unified_Paso Robles High,tested,FALSE,1
Paso Robles Joint Unified,Pat Butler Elementary,Paso Robles Joint Unified_Pat Butler Elementary,tested,FALSE,1
,Saint Rose Catholic School,_Saint Rose Catholic School,#N/A,FALSE,1
,Trinity Lutheran School,_Trinity Lutheran School,#N/A,FALSE,1
Paso Robles Joint Unified,Virginia Peterson Elementary,Paso Robles Joint Unified_Virginia Peterson Elementary,tested,FALSE,1
Paso Robles Joint Unified,Winifred Pifer Elementary,Paso Robles Joint Unified_Winifred Pifer Elementary,tested,FALSE,1
Paso Robles Joint Unified,Marie Bauer/Glen Speck School,Paso Robles Joint Unified_Marie Bauer/Glen Speck School,tested,FALSE,1
Lucia Mar Unified,Judkins Middle,Lucia Mar Unified_Judkins Middle,tested,FALSE,1
Lucia Mar Unified,Shell Beach Elementary,Lucia Mar Unified_Shell Beach Elementary,tested,FALSE,1
,Montessori Children's,_Montessori Children's,#N/A,FALSE,1
San Luis Coastal Unified,PEEP - de'Groot - Prepare,San Luis Coastal Unified_PEEP - de'Groot - Prepare,tested,FALSE,1
San Luis Coastal Unified,Hawthorne Elementary,San Luis Coastal Unified_Hawthorne Elementary,tested,FALSE,3
San Luis Coastal Unified,Smith (C. L.) Elementary,San Luis Coastal Unified_Smith (C. L.) Elementary,tested,FALSE,1
San Luis Coastal Unified,Laguna Middle,San Luis Coastal Unified_Laguna Middle,tested,FALSE,1
San Luis Coastal Unified,Bishop's Peak Elementary,San Luis Coastal Unified_Bishop's Peak Elementary,tested,FALSE,1
San Luis Coastal Unified,Teach Elementary,San Luis Coastal Unified_Teach Elementary,tested,FALSE,1
San Luis Coastal Unified,Pacheco Elementary,San Luis Coastal Unified_Pacheco Elementary,tested,FALSE,1
San Luis Coastal Unified,Sinsheimer Elementary,San Luis Coastal Unified_Sinsheimer Elementary,tested,FALSE,1
San Luis Coastal Unified,Pacific Beach High,San Luis Coastal Unified_Pacific Beach High,tested,FALSE,1
Blochman Union School District (Santa Barbara County),Family Partnership Charter School,Blochman Union School District (Santa Barbara County)_Family Partnership Charter School,tested,FALSE,1
,Old Mission School,_Old Mission School,#N/A,FALSE,1
,Cal Poly Children’s Center ,_Cal Poly Children’s Center,#N/A,FALSE,1
,Cal Poly Child Development Center,_Cal Poly Child Development Center,#N/A,FALSE,1
San Miguel Joint Union,Lillian Larsen Elementary,San Miguel Joint Union_Lillian Larsen Elementary,tested,FALSE,1
San Luis Coastal Unified,Del Mar Elementary,San Luis Coastal Unified_Del Mar Elementary,not tested,FALSE,3
San Luis Coastal Unified,Morro Bay High,San Luis Coastal Unified_Morro Bay High,tested,FALSE,1
San Luis Coastal Inified,Morro Elementary,San Luis Coastal Inified_Morro Elementary,tested,FALSE,1
Coast Unified,Cambria Grammar,Coast Unified_Cambria Grammar,not tested,FALSE,1
Coast Unified,Coast Union High,Coast Unified_Coast Union High,not tested,FALSE,1
Coast Unified,Leffingwell High (Continuation),Coast Unified_Leffingwell High (Continuation),not tested,FALSE,1
Coast Unified,Santa Lucia Middle,Coast Unified_Santa Lucia Middle,not tested,FALSE,1
Lucia Mar Unified,Lange (Dorothea) Elementary,Lucia Mar Unified_Lange (Dorothea) Elementary,tested,FALSE,1
Templeton Unified,Eagle Canyon High,Templeton Unified_Eagle Canyon High,tested,FALSE,1
Templeton Unified,Templeton Elementary,Templeton Unified_Templeton Elementary,tested,FALSE,1
Templeton Unified,Templeton Middle,Templeton Unified_Templeton Middle,tested,FALSE,1
Templeton Unified,Templeton High,Templeton Unified_Templeton High,tested,FALSE,1
Templeton Unified,Vineyard Elementary,Templeton Unified_Vineyard Elementary,tested,FALSE,1
San Luis Coastal Unified,Bellevue-Santa Fe Charter,San Luis Coastal Unified_Bellevue-Santa Fe Charter,tested,FALSE,1
Atascadero Unified,Santa Margarita Elementary,Atascadero Unified_Santa Margarita Elementary,tested,FALSE,2
Lucia Mar Unified,Dana Elementary,Lucia Mar Unified_Dana Elementary,tested,FALSE,1
Lucia Mar Unified,Nipomo Elementary,Lucia Mar Unified_Nipomo Elementary,tested,FALSE,1
Lucia Mar Unified,Nipomo High,Lucia Mar Unified_Nipomo High,tested,FALSE,1
Lucia Mar Unified,Mesa Middle,Lucia Mar Unified_Mesa Middle,tested,FALSE,1
Lucia Mar Unified,Lopez Continuation High,Lucia Mar Unified_Lopez Continuation High,tested,FALSE,1
La Honda-Pescadero Unified,Pescadero Elementary and Middle,La Honda-Pescadero Unified_Pescadero Elementary and Middle,tested,FALSE,1
Sequoia Union High,Carlmont High,Sequoia Union High_Carlmont High,tested,FALSE,1
San Carlos Elementary ,Tierra Linda Middle ,San Carlos Elementary_Tierra Linda Middle,tested,FALSE,1
San Carlos Elementary,San Carlos Charter Learning Center,San Carlos Elementary_San Carlos Charter Learning Center,tested,FALSE,1
Belmont-Redwood Shores Elementary,Fox Elementary,Belmont-Redwood Shores Elementary_Fox Elementary,not tested,FALSE,1
Belmont-Redwood Shores Elementary,Ralston Intermediate,Belmont-Redwood Shores Elementary_Ralston Intermediate,not tested,FALSE,1
Belmont-Redwood Shores Elementary,Cipriani Elementary,Belmont-Redwood Shores Elementary_Cipriani Elementary,tested,FALSE,1
Belmont-Redwood Shores Elementary,Central Elementary,Belmont-Redwood Shores Elementary_Central Elementary,not tested,FALSE,8
Belmont-Redwood Shores Elementary,Nesbit Elementary,Belmont-Redwood Shores Elementary_Nesbit Elementary,not tested,FALSE,1
Brisbane Elementary,Brisbane Elementary,Brisbane Elementary_Brisbane Elementary,tested,FALSE,1
,Village Park Preschool,_Village Park Preschool,#N/A,FALSE,1
,Palcare,_Palcare,#N/A,FALSE,1
San Mateo Union High,Burlingame High,San Mateo Union High_Burlingame High,tested,FALSE,1
Burlingame Elementary,Burlingame Intermediate,Burlingame Elementary_Burlingame Intermediate,tested,FALSE,1
Burlingame Elementary,Hoover Elementary School,Burlingame Elementary_Hoover Elementary School,tested,FALSE,1
,Mercy High,_Mercy High,#N/A,FALSE,1
,Our Lady of Angels Elementary,_Our Lady of Angels Elementary,#N/A,FALSE,1
Brisbane Elementary,Lipman Middle,Brisbane Elementary_Lipman Middle,tested,FALSE,1
Sequoia Union High,Menlo-Atherton High,Sequoia Union High_Menlo-Atherton High,tested,FALSE,1
Sequoia Union High,Woodside High,Sequoia Union High_Woodside High,tested,FALSE,1
Sequoia Union High,Sequoia District Adult Education,Sequoia Union High_Sequoia District Adult Education,tested,FALSE,1
Portola Valley Elementary,Corte Madera,Portola Valley Elementary_Corte Madera,tested,FALSE,1
Portola Valley Elementary,Ormondale Elementary,Portola Valley Elementary_Ormondale Elementary,tested,FALSE,1
Las Lomitas Elementary,Las Lomitas Elementary,Las Lomitas Elementary_Las Lomitas Elementary,tested,FALSE,1
,Synapse School,_Synapse School,#N/A,FALSE,1
Redwood City Elementary,Connect Community Charter,Redwood City Elementary_Connect Community Charter,tested,FALSE,1
Redwood City Elementary,Fair Oaks Elementary,Redwood City Elementary_Fair Oaks Elementary,tested,FALSE,3
Redwood City Elementary,Selby Lane Elementary,Redwood City Elementary_Selby Lane Elementary,tested,FALSE,1
Menlo Park City Elementary,Encinal Elementary,Menlo Park City Elementary_Encinal Elementary,tested,FALSE,1
Menlo Park City Elementary,Hillview Middle,Menlo Park City Elementary_Hillview Middle,tested,FALSE,3
Menlo Park City Elementary,Laurel Elementary,Menlo Park City Elementary_Laurel Elementary,not tested,FALSE,5
Menlo Park City Elementary,Oak Knoll Elementary,Menlo Park City Elementary_Oak Knoll Elementary,tested,FALSE,1
San Carlos Elementary,Brittan Acres Elementary,San Carlos Elementary_Brittan Acres Elementary,tested,FALSE,1
San Carlos Elementary,White Oaks Elementary,San Carlos Elementary_White Oaks Elementary,tested,FALSE,1
San Carlos Elementary,Heather Elementary,San Carlos Elementary_Heather Elementary,tested,FALSE,1
San Carlos Elementary,Arundel Elementary,San Carlos Elementary_Arundel Elementary,tested,FALSE,1
San Carlos Elementary,Arroyo School,San Carlos Elementary_Arroyo School,tested,FALSE,1
,Pacific Rim International School,_Pacific Rim International School,#N/A,FALSE,1
,Centennial Montessori School,_Centennial Montessori School,#N/A,FALSE,2
San Mateo Foster City,Centennial Montessori School,San Mateo Foster City_Centennial Montessori School,tested,FALSE,2
,Compass High School,_Compass High School,#N/A,FALSE,1
San Mateo Union High,Aragon High,San Mateo Union High_Aragon High,tested,FALSE,1
San Mateo Union High,Hillsdale High,San Mateo Union High_Hillsdale High,tested,FALSE,1
San Mateo Union High,San Mateo High,San Mateo Union High_San Mateo High,tested,FALSE,1
,St. Timothy School,_St. Timothy School,#N/A,FALSE,1
,The Carey School,_The Carey School,#N/A,FALSE,1
San Mateo County Office of Education,Gateway Center,San Mateo County Office of Education_Gateway Center,tested,FALSE,1
San Mateo County Office of Education,Hillcrest at Youth Services Center,San Mateo County Office of Education_Hillcrest at Youth Services Center,tested,FALSE,1
San Mateo County Office of Education,Margaret J. Kemp,San Mateo County Office of Education_Margaret J. Kemp,tested,FALSE,1
,St. Matthew Catholic,_St. Matthew Catholic,#N/A,FALSE,1
Jefferson Elementary,Benjamin Franklin Intermediate,Jefferson Elementary_Benjamin Franklin Intermediate,tested,FALSE,1
Jefferson Elementary,Garden Village Elementary,Jefferson Elementary_Garden Village Elementary,tested,FALSE,1
,All Souls Catholic Elementary,_All Souls Catholic Elementary,#N/A,FALSE,1
,St. Veronica Catholic School,_St. Veronica Catholic School,#N/A,FALSE,1
,Holy Angels Elementary,_Holy Angels Elementary,#N/A,FALSE,1
Cabrillo Unified,Farallone View Elementary,Cabrillo Unified_Farallone View Elementary,tested,FALSE,1
Jefferson Union High,Jefferson High,Jefferson Union High_Jefferson High,tested,FALSE,1
Jefferson Union High,Westmoor High,Jefferson Union High_Westmoor High,tested,FALSE,1
Jefferson Union High,Thornton High,Jefferson Union High_Thornton High,tested,FALSE,1
Bayshore Elementary,Bayshore Elementary,Bayshore Elementary_Bayshore Elementary,tested,FALSE,1
Jefferson Elementary,Franklin Delano Roosevelt Elementary,Jefferson Elementary_Franklin Delano Roosevelt Elementary,tested,FALSE,1
Jefferson Elementary,Daniel Webster Elementary,Jefferson Elementary_Daniel Webster Elementary,tested,FALSE,1
Jefferson Elementary,Thomas Edison Elementary,Jefferson Elementary_Thomas Edison Elementary,tested,FALSE,3
Jefferson Elementary,Fernando Rivera Intermediate,Jefferson Elementary_Fernando Rivera Intermediate,tested,FALSE,1
Jefferson Elementary,Marjorie H. Tobias Elementary,Jefferson Elementary_Marjorie H. Tobias Elementary,tested,FALSE,1
Jefferson Elementary,Westlake Elementary,Jefferson Elementary_Westlake Elementary,tested,FALSE,3
Jefferson Elementary,Woodrow Wilson Elementary,Jefferson Elementary_Woodrow Wilson Elementary,tested,FALSE,4
Jefferson Elementary,Thomas R. Pollicita Middle,Jefferson Elementary_Thomas R. Pollicita Middle,tested,FALSE,1
Jefferson Elementary,John F. Kennedy Elementary,Jefferson Elementary_John F. Kennedy Elementary,tested,FALSE,6
Jefferson Elementary,Margaret Pauline Brown Elementary,Jefferson Elementary_Margaret Pauline Brown Elementary,tested,FALSE,1
Jefferson Elementary School District,General Pershing Elementary,Jefferson Elementary School District_General Pershing Elementary,tested,FALSE,1
,Our Lady of Mercy Elementary,_Our Lady of Mercy Elementary,#N/A,FALSE,1
,Hilldale School,_Hilldale School,#N/A,FALSE,1
Jefferson Union High,Adult Education Division,Jefferson Union High_Adult Education Division,tested,FALSE,1
Jefferson Union High,Summit Public School: Shasta,Jefferson Union High_Summit Public School: Shasta,tested,FALSE,1
South San Francisco Unified,Junipero Serra Elementary,South San Francisco Unified_Junipero Serra Elementary,tested,FALSE,2
South San Francisco Unified,Skyline Elementary,South San Francisco Unified_Skyline Elementary,tested,FALSE,1
Hillsborough City Elementary,Crocker Middle,Hillsborough City Elementary_Crocker Middle,tested,FALSE,1
Hillsborough City Elementary,North Hillsborough,Hillsborough City Elementary_North Hillsborough,tested,FALSE,1
Hillsborough City Elementary,South Hillsborough,Hillsborough City Elementary_South Hillsborough,tested,FALSE,1
Hillsborough City Elementary,West Hillsborough,Hillsborough City Elementary_West Hillsborough,tested,FALSE,1
,The Bridge School,_The Bridge School,#N/A,FALSE,1
,The Nueva School,_The Nueva School,#N/A,FALSE,1
San Mateo Union High,Mills High,San Mateo Union High_Mills High,tested,FALSE,1
San Mateo-Foster City,Audubon Elementary,San Mateo-Foster City_Audubon Elementary,tested,FALSE,1
San Mateo-Foster City,Bowditch Middle,San Mateo-Foster City_Bowditch Middle,tested,FALSE,1
San Mateo-Foster City,Brewer Island Elementary,San Mateo-Foster City_Brewer Island Elementary,tested,FALSE,1
San Mateo-Foster City,Foster City Elementary,San Mateo-Foster City_Foster City Elementary,tested,FALSE,1
Sequoia Union High,Sequoia High,Sequoia Union High_Sequoia High,tested,FALSE,2
Sequoia Union High,Redwood High,Sequoia Union High_Redwood High,tested,FALSE,3
Sequoia Union High,Summit Preparatory Charter High,Sequoia Union High_Summit Preparatory Charter High,tested,FALSE,1
Belmont-Redwood Shores Elementary,Redwood Shores Elementary,Belmont-Redwood Shores Elementary_Redwood Shores Elementary,tested,FALSE,1
Belmont-Redwood Shores Elementary,Sandpiper Elementary,Belmont-Redwood Shores Elementary_Sandpiper Elementary,tested,FALSE,1
,St. Robert,_St. Robert,#N/A,FALSE,1
San Mateo Union High,Peninsula High,San Mateo Union High_Peninsula High,tested,FALSE,1
Sequoia Union High,East Palo Alto Academy,Sequoia Union High_East Palo Alto Academy,tested,FALSE,1
Menlo Park City School District,Laurel School Upper Campus,Menlo Park City School District_Laurel School Upper Campus,tested,FALSE,1
Ravenswood City Elementary,Aspire East Palo Alto Charter,Ravenswood City Elementary_Aspire East Palo Alto Charter,tested,FALSE,1
Ravenswood City School,Aspire East Palo Alto Phoenix Academy,Ravenswood City School_Aspire East Palo Alto Phoenix Academy,tested,FALSE,1
,Eastside College Preparatory School,_Eastside College Preparatory School,#N/A,FALSE,1
Jefferson Union High,Oceana High,Jefferson Union High_Oceana High,tested,FALSE,1
Jefferson Union High,Terra Nova High,Jefferson Union High_Terra Nova High,tested,FALSE,1
Blochman Union Elementary,Benjamin Foxen Elementary,Blochman Union Elementary_Benjamin Foxen Elementary,tested,FALSE,1
Carpinteria Unified,Aliso Elementary,Carpinteria Unified_Aliso Elementary,tested,FALSE,1
Carpinteria Unified,Canalino Elementary,Carpinteria Unified_Canalino Elementary,tested,FALSE,1
Carpinteria Unified,Carpinteria Middle,Carpinteria Unified_Carpinteria Middle,tested,FALSE,1
Carpinteria Unified,Rincon High (Continuation),Carpinteria Unified_Rincon High (Continuation),tested,FALSE,1
Carpinteria Unified,Carpinteria Senior High,Carpinteria Unified_Carpinteria Senior High,tested,FALSE,1
Orcutt Union Elementary,Olga L. Reed Elementary,Orcutt Union Elementary_Olga L. Reed Elementary,tested,FALSE,1
Guadalupe Union Elementary,Kermit McKenzie Junior High,Guadalupe Union Elementary_Kermit McKenzie Junior High,tested,FALSE,1
Guadalupe Union Elementary,Mary Buren Elementary,Guadalupe Union Elementary_Mary Buren Elementary,tested,FALSE,1
Goleta Union Elementary,Brandon Elementary,Goleta Union Elementary_Brandon Elementary,tested,FALSE,1
Goleta Union Elementary,El Camino Elementary,Goleta Union Elementary_El Camino Elementary,tested,FALSE,1
Goleta Union Elementary,Ellwood Elementary,Goleta Union Elementary_Ellwood Elementary,tested,FALSE,1
Goleta Union Elementary,Foothill Elementary,Goleta Union Elementary_Foothill Elementary,tested,FALSE,6
Goleta Union Elementary,Hollister Elementary,Goleta Union Elementary_Hollister Elementary,tested,FALSE,1
Goleta Union Elementary,Isla Vista Elementary,Goleta Union Elementary_Isla Vista Elementary,tested,FALSE,1
Goleta Union Elementary,Kellogg Elementary,Goleta Union Elementary_Kellogg Elementary,tested,FALSE,1
Goleta Union Elementary,La Patera Elementary,Goleta Union Elementary_La Patera Elementary,tested,FALSE,1
Goleta Union Elementary,Mountain View Elementary,Goleta Union Elementary_Mountain View Elementary,tested,FALSE,8
Goleta Union,Goleta Union School District cafeteria,Goleta Union_Goleta Union School District cafeteria,tested,FALSE,1
,La Purisima Catholic School,_La Purisima Catholic School,#N/A,FALSE,1
Lompoc Unified,Arthur Hapgood Elementary,Lompoc Unified_Arthur Hapgood Elementary,tested,FALSE,1
Lompoc Unified,Clarence Ruth Elementary,Lompoc Unified_Clarence Ruth Elementary,tested,FALSE,1
Lompoc Unified,Leonora Fillmore Elementary,Lompoc Unified_Leonora Fillmore Elementary,tested,FALSE,1
Lompoc Unified,La Canada Elementary,Lompoc Unified_La Canada Elementary,tested,FALSE,2
Lompoc Unified,La Honda STEAM Academy,Lompoc Unified_La Honda STEAM Academy,tested,FALSE,1
Lompoc Unified,Lompoc High,Lompoc Unified_Lompoc High,tested,FALSE,1
Lompoc Unified,Lompoc Valley Middle,Lompoc Unified_Lompoc Valley Middle,tested,FALSE,1
Lompoc Unified,Miguelito Elementary,Lompoc Unified_Miguelito Elementary,tested,FALSE,1
Lompoc Unified,Mission Valley,Lompoc Unified_Mission Valley,tested,FALSE,1
Lompoc Unified School District,El Camino Adult Education,Lompoc Unified School District_El Camino Adult Education,tested,FALSE,1
,Our Lady of Mt. Carmel Elementary,_Our Lady of Mt. Carmel Elementary,#N/A,FALSE,1
Carpinteria Unified,Summerland Elementary,Carpinteria Unified_Summerland Elementary,tested,FALSE,1
Cold Spring Elementary,Cold Spring Elementary,Cold Spring Elementary_Cold Spring Elementary,tested,FALSE,1
